S3,8.0
D1,8.0
I7_rol_mean_10,8.0
V3_rol_mean_5,8.5
E1,8.5
E4_rol_mean_5,8.5
E5,8.5
M15_rol_mean_10,8.5
M3_rol_mean_5,8.5
S9,8.5
V1,8.5
I4,8.5
E14_diff1,8.5
I3_rol_mean_5,8.5
M18,8.5
M8,8.5
I4_rol_mean_10,9.0
M1,9.0
P8,9.0
P2,9.0
I8_rol_mean_5,9.0
V8,9.0
I8_rol_mean_10,9.0
P6_rol_std_10,9.0
M9_rol_mean_5,9.0
I5,9.0
E4_diff1,9.0
E3,9.0
S10,9.0
I6_rol_mean_5,9.0
E2,9.0
E11_diff5,9.0
E4_rol_std_10,9.0
V3_rol_mean_10,9.0
E14_rol_std_5,9.0
I4_rol_std_10,9.0
M5,9.5
I9,9.5
P1,9.5
D8,9.5
E14_diff5,9.5
M12_rol_mean_10,9.5
D5,9.5
D7,9.5
D9,9.5
E4_diff3,9.5
S11,10.0
E14_diff3,10.0
E7,10.0
M6,10.0
M16,10.0
V11,10.0
V6,10.0
V9,10.0
V12,10.0
V10,10.0
M13,10.0
D4,10.0
D6,10.0
M14,10.0
D3,10.0
D2,10.0
