,0
I6_rol_std_30,6.0
P6_rol_std_30,6.0
P6_rol_std_20,6.0
P6_rol_std_60,6.0
V13_diff2,6.0
V13_diff3,6.0
V13_diff5,6.0
V13_diff1,6.0
P6_diff1,6.0
P6_rol_mean_5,6.0
P6_diff5,6.0
P6_diff10,6.0
P6_rol_std_5,6.0
P6_rol_mean_60,6.0
P6_rol_mean_30,6.0
P6_rol_mean_20,6.0
I6_rol_std_60,6.0
P6_diff2,6.0
P6_diff3,6.0
V13_rol_mean_10,6.0
I6_rol_mean_60,6.0
I6_rol_std_10,6.0
P12_rol_mean_30,6.2
V2_rol_std_30,6.2
P4_rol_mean_20,6.2
P3_diff5,6.2
P3_rol_std_60,6.2
P5,6.2
P7_diff1,6.4
P4_rol_std_30,6.4
P4_rol_mean_60,6.4
P4_rol_std_5,6.4
P4_rol_mean_30,6.4
P4_rol_mean_10,6.4
P4_rol_mean_5,6.4
P3_diff10,6.4
P4_rol_std_10,6.4
E14_diff2,6.4
I3_diff1,6.4
V2_rol_std_60,6.4
P12_diff10,6.6
P3_diff3,6.6
P3_diff2,6.6
P3_diff1,6.6
P5_rol_mean_10,6.6
P8,6.6
P5_rol_mean_20,6.6
P13,6.6
P5_rol_mean_30,6.8
V2_diff10,6.8
P4_rol_std_20,6.8
V2_rol_mean_5,6.8
P4_rol_std_60,6.8
V2_rol_mean_10,6.8
M9,6.8
E5,7.0
M12_diff2,7.0
P5_rol_std_30,7.0
P7,7.0
I4,7.0
M12_diff10,7.0
P5_rol_mean_60,7.0
M12_diff5,7.0
P5_rol_std_60,7.0
M12_diff3,7.0
V2_rol_std_10,7.0
M12_rol_std_60,7.0
P5_rol_std_20,7.0
M12_rol_std_20,7.0
M12_rol_std_10,7.0
M12_rol_std_5,7.0
M12_rol_mean_60,7.0
M12_rol_mean_30,7.0
M12_rol_mean_20,7.0
M12_rol_mean_10,7.0
V2_diff2,7.0
P5_rol_std_5,7.0
P5_rol_std_10,7.0
E6,7.0
M12_rol_std_30,7.0
M12_diff1,7.0
P10,7.0
M12_rol_mean_5,7.0
P6,7.2
P3,7.2
V2_rol_std_20,7.2
E19_rol_mean_20,7.4
P11,7.4
P12_diff5,7.4
P12_diff3,7.6
I3_diff2,7.6
S11,7.6
P4,7.6
E19_rol_mean_30,7.8
S1,7.8
S10,7.8
P12_diff2,7.8
M7_diff10,8.0
M7_diff5,8.0
M7_rol_mean_5,8.0
I3_rol_mean_20,8.0
S5,8.0
P12_diff1,8.0
I3_rol_mean_30,8.0
I3_rol_std_20,8.0
I3_rol_std_10,8.0
M7_diff3,8.0
I3_diff3,8.0
E11_diff5,8.0
I3_diff10,8.0
M7_diff2,8.0
I3_rol_std_5,8.0
I3_rol_std_30,8.0
I3_rol_std_60,8.0
M7_diff1,8.0
V5_rol_std_60,8.0
I3_rol_mean_60,8.0
M8,8.0
S7,8.0
S6,8.0
I3_diff5,8.0
I3_rol_mean_10,8.0
I3_rol_mean_5,8.0
resp_3d,8.0
P1,8.0
E4_diff3,8.2
E4_diff2,8.2
S3,8.2
S2,8.2
M7_rol_mean_10,8.4
V5_rol_std_20,8.4
E19_rol_mean_60,8.4
S12,8.4
E19_diff2,8.4
M7_rol_std_5,8.4
E19_diff3,8.4
E19_rol_mean_10,8.6
E19_rol_mean_5,8.6
E19_diff10,8.6
E19_rol_std_5,8.6
S9,8.6
S4,8.6
M7_rol_mean_20,8.6
E14_diff5,8.6
V5_rol_std_30,8.6
V7,8.6
V5,8.6
V6,8.6
M7_rol_mean_30,8.6
E19_diff5,8.6
E14_rol_mean_30,8.8
E14_rol_mean_20,8.8
E14_rol_mean_5,8.8
V5_rol_std_5,8.8
V5_rol_mean_30,8.8
V5_rol_mean_60,8.8
M7_rol_mean_60,8.8
V8,8.8
S8,8.8
V5_rol_std_10,8.8
E14_diff10,8.8
E19_rol_std_10,8.8
E19_rol_std_20,8.8
E19_rol_std_60,8.8
M12,9.0
M13,9.0
M5,9.0
I8_rol_mean_30,9.0
M7_rol_std_60,9.0
M7_rol_std_30,9.0
M7_rol_std_20,9.0
M7_rol_std_10,9.0
I8_rol_mean_5,9.0
I8_rol_mean_10,9.0
I8_rol_mean_20,9.0
I8_diff1,9.0
I8_diff10,9.0
I8_diff5,9.0
I8_diff2,9.0
V5_diff3,9.0
V5_diff2,9.0
V5_diff1,9.0
I8_rol_std_60,9.0
I8_rol_std_30,9.0
V5_rol_mean_10,9.0
E14_rol_mean_60,9.0
V5_diff5,9.0
V5_rol_mean_5,9.0
V2,9.0
V4,9.0
V5_diff10,9.0
V13,9.0
V10,9.0
V12,9.0
I8_diff3,9.0
I8_rol_mean_60,9.0
I8_rol_std_10,9.0
E9,9.0
I7,9.0
E4,9.0
I1,9.0
I8_rol_std_20,9.0
I8_rol_std_5,9.0
V5_rol_mean_20,9.0
E19_rol_std_30,9.0
E14_rol_mean_10,9.2
V11,9.2
E19_diff1,9.2
I4_diff10,9.4
V3,9.4
I4_rol_std_5,9.4
E4_diff1,9.6
E14_rol_std_30,9.6
E14_rol_std_60,9.6
E14_rol_std_20,9.6
V9,9.6
I4_rol_mean_30,9.6
I4_rol_mean_60,9.6
V1,9.6
I7_rol_std_60,9.8
I4_rol_std_10,9.8
I4_rol_mean_10,9.8
I4_rol_mean_20,9.8
E4_rol_std_30,9.8
E11_diff3,9.8
I4_diff5,9.8
E14_rol_std_10,9.8
E14_rol_std_5,9.8
I4_diff1,10.0
E4_rol_std_60,10.0
E4_rol_mean_30,10.0
E4_diff5,10.0
E4_rol_std_20,10.0
E4_rol_mean_60,10.0
E4_diff10,10.0
E4_rol_std_5,10.0
E11_diff2,10.0
E4_rol_std_10,10.0
E11_diff10,10.0
E4_rol_mean_5,10.0
I4_rol_mean_5,10.0
I4_diff2,10.0
I4_diff3,10.0
E4_rol_mean_20,10.0
E4_rol_mean_10,10.0
resp_5d,10.0
E11_diff1,10.2
I4_rol_std_60,10.2
I4_rol_std_30,10.2
I7_rol_std_20,10.2
I7_rol_std_30,10.2
I4_rol_std_20,10.2
E11_rol_mean_5,10.4
E11_rol_mean_10,10.4
I7_rol_std_10,10.6
E11_rol_std_10,10.6
E11_rol_std_20,10.6
E11_rol_mean_20,10.8
E11_rol_mean_60,10.8
E11_rol_mean_30,10.8
E11_rol_std_5,10.8
I7_diff1,11.0
I7_rol_mean_10,11.0
I7_diff5,11.0
I7_diff2,11.0
I7_diff3,11.0
